point,easting,northing,elevation,description,horizontal_datum,vertical_datum,coordinate_system,source_page,source_pdf
219,746145.86,770035.38,21.72,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 219 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
220,747146.87,770106.32,21.37,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 220 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
221,748203.18,770162.53,21.82,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 221 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
222,749206.08,770231.61,20.92,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 222 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
223,750199.53,770295.56,21.67,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 223 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
224,751201.64,770349.58,20.54,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 224 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
225,752215.93,770414.55,21.72,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 225 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
226,753096.51,770461.25,21.66,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 226 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
227,753976.09,770510.29,19.05,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 227 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
228,752922.84,771458.95,20.85,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 228 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
402,754505.00,770593.00,30.89,FOUND NGS BENCHMARK F779,,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
501,752689.79,774080.02,23.03,FOUND NGS CONTROL POINT 46 26 22 01,,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
600,752816.53,771948.20,21.79,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 600 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
601,752715.00,772438.22,22.82,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 601 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
602,752767.33,773440.35,22.58,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 602 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
603,752759.63,773689.13,24.96,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 603 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
604,752830.15,773359.12,23.12,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 604 LB642",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
605,752764.00,773055.00,23.93,"SET PK NAIL & DISK STAMPED ""BM 25"" IN WEST FACE OF WOOD POWER POLE.",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10024,745748.00,769996.00,20.66,"SET MAG NAIL & DISK STAMPED ""BM 15"" IN NORTH FACE OF FACE CONCRETE POWER POLE",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10025,746642.00,770053.00,21.92,"SET MAG NAIL & DISK STAMPED ""BM 16"" IN EDGE OF PAVEMENT",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10026,747584.00,770108.00,22.23,"SET MAG NAIL & DISK STAMPED ""BM 17"" IN NORTH FACE OF WOOD POWER POLE",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10027,748704.00,770170.00,21.29,"SET MAG NAIL & DISK STAMPED ""BM 18"" IN NORTH EDGE OF ASPHALT WALK",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10028,749773.00,770253.00,21.83,"SET MAG NAIL & DISK STAMPED ""BM 19"" IN CONCRETE MITERED END SECTION",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10029,750728.00,770299.00,22.81,"SET PK NAIL & DISK STAMPED ""BM 20"" IN NORTH FACE OF CONCRETE POWER POLE",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10030,751690.00,770356.00,21.33,"FOUND MAG NAIL & DISK STAMPED ""PCP LB6690 BM21"" IN NORTH FACE OF WOOD POWER POLE",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10031,752652.00,770414.00,20.62,"SET MAG NAIL & DISK STAMPED ""BM 22"" IN NORTH FACE OF WOOD POWER POLE",,NGVD 1929,"Florida State Plane, West Zone",18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
